Jurisdiction of Occurrence,Week ,All Cause
District of Columbia,23,140
District of Columbia,24,143
District of Columbia,25,125
District of Columbia,26,109
District of Columbia,27,112
District of Columbia,28,138
District of Columbia,29,146
District of Columbia,30,118
District of Columbia,31,105
District of Columbia,32,128
District of Columbia,33,137
District of Columbia,34,130
District of Columbia,35,135
District of Columbia,36,120
District of Columbia,37,153
District of Columbia,38,175
District of Columbia,39,144
District of Columbia,40,165
District of Columbia,41,178
District of Columbia,42,173
District of Columbia,43,170
District of Columbia,44,159
District of Columbia,45,180
District of Columbia,46,164
District of Columbia,47,153
District of Columbia,48,167
District of Columbia,49,144
District of Columbia,50,134
District of Columbia,51,124
District of Columbia,52,145
District of Columbia,53,135
District of Columbia,54,125
District of Columbia,55,157
District of Columbia,56,121
District of Columbia,57,126
District of Columbia,58,119
District of Columbia,59,119
District of Columbia,60,121
District of Columbia,61,122
District of Columbia,62,112
District of Columbia,63,107
District of Columbia,64,105
District of Columbia,65,63
Florida,-11,"4,341"
Florida,-10,"4,410"
Florida,-9,"4,385"
Florida,-8,"4,387"
Florida,-7,"4,419"
Florida,-6,"4,385"
Florida,-5,"4,358"
Florida,-4,"4,416"
Florida,-3,"4,399"
Florida,-2,"4,520"
Florida,-1,"4,435"
Florida,0,"4,362"
Florida,1,"4,461"
Florida,2,"4,497"
Florida,3,"4,544"
Florida,4,"4,416"
Florida,5,"4,555"
Florida,6,"4,352"
Florida,7,"4,407"
Florida,8,"4,279"
Florida,9,"4,360"
Florida,10,"4,211"
Florida,11,"4,265"
Florida,12,"4,256"
Florida,13,"4,408"
Florida,14,"4,504"
Florida,15,"4,725"
Florida,16,"5,084"
Florida,17,"5,509"
Florida,18,"5,704"
Florida,19,"5,791"
Florida,20,"5,585"
Florida,21,"5,510"
Florida,22,"5,203"
Florida,23,"5,015"
Florida,24,"4,758"
Florida,25,"4,513"
Florida,26,"4,667"
Florida,27,"4,444"
Florida,28,"4,346"
Florida,29,"4,525"
Florida,30,"4,389"
Florida,31,"4,335"
Florida,32,"4,265"
Florida,33,"4,305"
Florida,34,"4,487"
Florida,35,"4,561"
Florida,36,"4,634"
Florida,37,"4,911"
Florida,38,"5,085"
Florida,39,"4,945"
Florida,40,"5,137"
Florida,41,"5,708"
Florida,42,"5,497"
Florida,43,"5,923"
Florida,44,"5,663"
Florida,45,"5,487"
Florida,46,"5,569"
Florida,47,"5,459"
Florida,48,"5,119"
Florida,49,"4,891"
Florida,50,"4,821"
Florida,51,"4,636"
Florida,52,"4,582"
Florida,53,"4,729"
Florida,54,"4,473"
Florida,55,"4,696"
Florida,56,"4,640"
Florida,57,"4,716"
Florida,58,"4,468"
Florida,59,"4,585"
Florida,60,"4,500"
Florida,61,"4,554"
Florida,62,"4,451"
Florida,63,"4,274"
Florida,64,"4,054"
Florida,65,"3,161"
Georgia,-11,"1,803"
Georgia,-10,"1,806"
Georgia,-9,"1,746"
Georgia,-8,"1,829"
Georgia,-7,"1,796"
Georgia,-6,"1,781"
Georgia,-5,"1,761"
Georgia,-4,"1,749"
Georgia,-3,"1,859"
Georgia,-2,"1,755"
Georgia,-1,"1,784"
Georgia,0,"1,775"
Georgia,1,"1,881"
Georgia,2,"2,033"
Georgia,3,"2,041"
Georgia,4,"2,031"
Georgia,5,"2,040"
Georgia,6,"1,975"
Georgia,7,"1,986"
Georgia,8,"1,961"
Georgia,9,"1,910"
Georgia,10,"1,784"
Georgia,11,"1,782"
Georgia,12,"1,745"
Georgia,13,"1,780"
Georgia,14,"1,823"
Georgia,15,"1,879"
Georgia,16,"1,983"
Georgia,17,"2,176"
Georgia,18,"2,177"
Georgia,19,"2,192"
Georgia,20,"2,192"
Georgia,21,"2,243"
Georgia,22,"2,247"
Georgia,23,"2,132"
Georgia,24,"2,043"
Georgia,25,"2,073"
Georgia,26,"1,926"
Georgia,27,"1,997"
Georgia,28,"1,926"
Georgia,29,"1,886"
Georgia,30,"1,923"
Georgia,31,"1,960"
Georgia,32,"1,943"
Georgia,33,"2,016"
Georgia,34,"2,050"
Georgia,35,"1,976"
Georgia,36,"2,067"
Georgia,37,"2,170"
Georgia,38,"2,236"
Georgia,39,"2,417"
Georgia,40,"2,377"
Georgia,41,"2,719"
Georgia,42,"2,850"
Georgia,43,"3,076"
Georgia,44,"2,931"
Georgia,45,"2,749"
Georgia,46,"2,692"
Georgia,47,"2,355"
Georgia,48,"2,253"
Georgia,49,"2,079"
Georgia,50,"1,913"
Georgia,51,"1,961"
Georgia,52,"1,880"
Georgia,53,"1,837"
Georgia,54,"1,699"
