,code,count,week,July 2019 Estimate,normalized_counts,state,deaths
387,IL,3678,37,12671821,0.0002902503120901,Illinois,3281
388,IL,3812,38,12671821,0.0003008249564131,Illinois,3345
389,IL,3170,39,12671821,0.0002501613619699,Illinois,3130
390,IL,2454,40,12671821,0.0001936580385723,Illinois,3040
391,IL,2404,41,12671821,0.0001897122757652,Illinois,3031
392,IL,1785,42,12671821,0.0001408637322133,Illinois,2794
393,IL,2301,43,12671821,0.0001815840043826,Illinois,2732
394,IL,2402,44,12671821,0.0001895544452529,Illinois,2609
395,IL,2051,45,12671821,0.0001618551903471,Illinois,2585
396,IL,2107,46,12671821,0.000166274444691,Illinois,2560
397,IL,1828,47,12671821,0.0001442570882274,Illinois,2476
398,IL,1804,48,12671821,0.00014236312208,Illinois,2437
399,IL,2185,49,12671821,0.0001724298346701,Illinois,2333
400,NC,790,0,10488084,7.532357673718097e-05,North Carolina,2052
401,NC,661,1,10488084,6.3023904080097e-05,North Carolina,1877
402,NC,505,2,10488084,4.814988133199544e-05,North Carolina,2024
403,NC,298,3,10488084,2.841319730086067e-05,North Carolina,2016
404,NC,1032,4,10488084,9.839738125667186e-05,North Carolina,2029
405,NC,1223,5,10488084,0.0001166085244931,North Carolina,2104
406,NC,1120,6,10488084,0.0001067878556273,North Carolina,1948
407,NC,1088,7,10488084,0.000103736774038,North Carolina,2059
408,NC,1757,8,10488084,0.0001675234485154,North Carolina,2039
409,NC,1965,9,10488084,0.0001873554788462,North Carolina,2061
410,NC,1557,10,10488084,0.000148454188582,North Carolina,1990
411,NC,1435,11,10488084,0.0001368219400226,North Carolina,1967
412,NC,1855,12,10488084,0.0001768673858828,North Carolina,1878
413,NC,2173,13,10488084,0.000207187509177,North Carolina,1938
414,NC,2436,14,10488084,0.0002322635859895,North Carolina,1946
415,NC,2418,15,10488084,0.0002305473525955,North Carolina,2001
416,NC,2516,16,10488084,0.0002398912899629,North Carolina,1979
417,NC,2299,17,10488084,0.0002192011429351,North Carolina,2027
418,NC,2420,18,10488084,0.0002307380451949,North Carolina,2147
419,NC,2386,19,10488084,0.0002274962710062,North Carolina,2085
420,NC,2651,20,10488084,0.000252763040418,North Carolina,2061
421,NC,2543,21,10488084,0.0002424656400539,North Carolina,2160
422,NC,2165,22,10488084,0.0002064247387797,North Carolina,2122
423,NC,2101,23,10488084,0.000200322575601,North Carolina,2070
424,NC,1984,24,10488084,0.0001891670585399,North Carolina,2167
425,NC,2130,25,10488084,0.0002030876182913,North Carolina,2124
426,NC,1791,26,10488084,0.0001707652227041,North Carolina,2260
427,NC,1873,27,10488084,0.0001785836192768,North Carolina,2072
428,NC,2387,28,10488084,0.0002275916173058,North Carolina,2036
429,NC,2036,29,10488084,0.0001941250661226,North Carolina,2116
430,NC,1941,30,10488084,0.0001850671676542,North Carolina,2129
431,NC,2232,31,10488084,0.0002128129408574,North Carolina,2130
432,NC,2330,32,10488084,0.0002221568782248,North Carolina,2159
433,NC,2588,33,10488084,0.000246756223539,North Carolina,2380
434,NC,2900,34,10488084,0.0002765042690352,North Carolina,2229
435,NC,2877,35,10488084,0.0002743113041428,North Carolina,2168
436,NC,2253,36,10488084,0.0002148152131504,North Carolina,2314
437,NC,2991,37,10488084,0.0002851807823049,North Carolina,2372
438,NC,3070,38,10488084,0.0002927131399786,North Carolina,2457
439,NC,2700,39,10488084,0.0002574350091017,North Carolina,2583
440,NC,1809,40,10488084,0.0001724814560981,North Carolina,2666
441,NC,1935,41,10488084,0.0001844950898562,North Carolina,2823
442,NC,1598,42,10488084,0.0001523633868683,North Carolina,2873
443,NC,1985,43,10488084,0.0001892624048396,North Carolina,2862
444,NC,1799,44,10488084,0.0001715279931015,North Carolina,2791
445,NC,1741,45,10488084,0.0001659979077208,North Carolina,2776
446,NC,1673,46,10488084,0.0001595143593434,North Carolina,866
447,NC,1344,47,10488084,0.0001281454267528,North Carolina,523
448,NC,1442,48,10488084,0.0001374893641202,North Carolina,510
449,NC,1797,49,10488084,0.0001713373005021,North Carolina,474
450,LA,757,0,4648794,0.0001628379317302,Louisiana,955
451,LA,670,1,4648794,0.0001441234006066,Louisiana,1233
